generated_at,git_commit,config_hash,run_id,dataset,method,M_tau_requested,M_tau_effective,M_r_resolved_summary,feature_dim,projection_type,loss_type,model,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,condensation_time_mean,training_time_mean,inference_time_mean,status
2026-06-07T13:32:20Z,92a00a6,ed14c18ee38e7900,dblp-Random-HG-seed0-ed14c18e,dblp,Random-HG,32,32,,64,raw,,,0.535798,0.013242,,,0.000000,0.714120,0.000000,completed
2026-06-07T13:33:26Z,92a00a6,e3b75a716acc7f8f,dblp-Random-HG-seed0-e3b75a71,dblp,Random-HG,48,48,,64,raw,,,0.544836,0.014112,,,0.000000,0.171682,0.000000,completed
2026-06-07T13:33:58Z,92a00a6,8f60f7f497064014,dblp-Random-HG-seed0-8f60f7f4,dblp,Random-HG,61,61,,64,raw,,,0.550939,0.007896,,,0.000000,0.161902,0.000000,completed
2026-06-07T13:32:19Z,92a00a6,f0ec1f1f1a776e2a,dblp-Self-Only-MLP-seed0-f0ec1f1f,dblp,Self-Only-MLP,16,16,paper--written_by-->author=16,64,raw,clipped,relation_mlp,0.698944,0.011961,0.687200,0.006635,2.359698,2.277834,0.004530,completed
2026-06-07T13:33:22Z,92a00a6,54ff05257449039d,dblp-Self-Only-MLP-seed0-54ff0525,dblp,Self-Only-MLP,24,24,paper--written_by-->author=24,64,raw,clipped,relation_mlp,0.708568,0.007875,0.697153,0.010462,2.903480,0.476377,0.004264,completed
2026-06-07T13:33:58Z,92a00a6,15b14af0282f465c,dblp-Self-Only-MLP-seed0-15b14af0,dblp,Self-Only-MLP,61,61,paper--written_by-->author=61,64,raw,clipped,relation_mlp,0.682394,0.024943,0.676014,0.025124,4.329052,1.834447,0.004591,completed
2026-06-07T13:32:14Z,92a00a6,0cc26089a9c517d3,dblp-Shadow-HGC-R-1-seed0-0cc26089,dblp,Shadow-HGC-R-1,16,16,paper--written_by-->author=16,64,raw,clipped,relation_linear,0.826408,0.002012,0.818514,0.002012,3.102791,0.372458,0.022096,completed
2026-06-07T13:33:19Z,92a00a6,614dce2870faf9e0,dblp-Shadow-HGC-R-1-seed0-614dce28,dblp,Shadow-HGC-R-1,24,24,paper--written_by-->author=24,64,raw,clipped,relation_linear,0.825704,0.004025,0.817920,0.004151,2.746720,1.443637,0.022308,completed
2026-06-07T13:33:52Z,92a00a6,16ac54520ff276f4,dblp-Shadow-HGC-R-1-seed0-16ac5452,dblp,Shadow-HGC-R-1,61,61,paper--written_by-->author=61,64,raw,clipped,relation_linear,0.826056,0.001253,0.818393,0.001183,3.280485,0.375853,0.020694,completed
2026-06-07T13:35:02Z,92a00a6,5bbcaa6250cc1d82,imdb-Full-WRL-GNN-seedna-5bbcaa62,imdb,Full-WRL-GNN,,,,64,raw,clipped,relation_linear,0.335103,0.003006,0.308643,0.002993,0.000000,30.666178,0.000000,completed
