dataset,base_variant,mode,space,alpha,steps,temperature,correct_alpha,correct_steps,beta,valid_acc_before,valid_acc_after,test_acc_before,test_acc_after,macro_f1_before,macro_f1_after,predicted_class_count_before,predicted_class_count_after,full_edge_execution,uses_bounded_edges,uses_diffusion,uses_dense_p2,promotion_status,promotion_reason
acm,B3_scap_v2,smooth_prob,probabilities,0.2,4,2.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8961284160614014,0.8962585926055908,0.8967296083768209,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_prob,probabilities,0.2,4,4.0,,,,0.9285714030265808,0.9340659379959106,0.8956562876701355,0.8984891176223755,0.8962585926055908,0.8991213838259379,3,3,True,False,False,False,promoted,validation_and_test_gate_passed
acm,B3_scap_v2,smooth_logits,logits,0.2,8,1.0,,,,0.9285714030265808,0.7362637519836426,0.8956562876701355,0.7242681980133057,0.8962585926055908,0.7259296377499899,3,3,True,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,smooth_prob,probabilities,0.2,8,1.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_prob,probabilities,0.2,8,2.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8961284160614014,0.8962585926055908,0.8967296083768209,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_prob,probabilities,0.2,8,4.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8989613056182861,0.8962585926055908,0.8995888034502665,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_logits,logits,0.4,1,1.0,,,,0.9285714030265808,0.8681318759918213,0.8956562876701355,0.8611897826194763,0.8962585926055908,0.8633007605870565,3,3,True,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,smooth_prob,probabilities,0.4,1,1.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8984891176223755,0.8962585926055908,0.8991375962893168,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_prob,probabilities,0.4,1,2.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.899433434009552,0.8962585926055908,0.9001181721687317,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_prob,probabilities,0.4,1,4.0,,,,0.9285714030265808,0.9230769276618958,0.8956562876701355,0.9003776907920837,0.8962585926055908,0.9010884761810303,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_logits,logits,0.4,2,1.0,,,,0.9285714030265808,0.7417582273483276,0.8956562876701355,0.7823418378829956,0.8962585926055908,0.7874045769373575,3,3,True,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,smooth_prob,probabilities,0.4,2,1.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8966005444526672,0.8962585926055908,0.8972808122634888,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_prob,probabilities,0.4,2,2.0,,,,0.9285714030265808,0.9340659379959106,0.8956562876701355,0.8980169892311096,0.8962585926055908,0.8986673355102539,3,3,True,False,False,False,promoted,validation_and_test_gate_passed
acm,B3_scap_v2,smooth_prob,probabilities,0.4,2,4.0,,,,0.9285714030265808,0.9340659379959106,0.8956562876701355,0.8989613056182861,0.8962585926055908,0.899652103583018,3,3,True,False,False,False,promoted,validation_and_test_gate_passed
acm,B3_scap_v2,smooth_logits,logits,0.4,4,1.0,,,,0.9285714030265808,0.6648351550102234,0.8956562876701355,0.6822474002838135,0.8962585926055908,0.6847623785336813,3,3,True,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,smooth_prob,probabilities,0.4,4,1.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8975448608398438,0.8962585926055908,0.8981969356536865,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_prob,probabilities,0.4,4,2.0,,,,0.9285714030265808,0.9340659379959106,0.8956562876701355,0.8984891176223755,0.8962585926055908,0.8991344571113586,3,3,True,False,False,False,promoted,validation_and_test_gate_passed
acm,B3_scap_v2,smooth_prob,probabilities,0.4,4,4.0,,,,0.9285714030265808,0.9340659379959106,0.8956562876701355,0.899433434009552,0.8962585926055908,0.9001339475313822,3,3,True,False,False,False,promoted,validation_and_test_gate_passed
acm,B3_scap_v2,smooth_logits,logits,0.4,8,1.0,,,,0.9285714030265808,0.5384615659713745,0.8956562876701355,0.5934844017028809,0.8962585926055908,0.5841581026713053,3,3,True,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,smooth_prob,probabilities,0.4,8,1.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8980169892311096,0.8962585926055908,0.8986673355102539,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_prob,probabilities,0.4,8,2.0,,,,0.9285714030265808,0.9340659379959106,0.8956562876701355,0.8984891176223755,0.8962585926055908,0.8991344571113586,3,3,True,False,False,False,promoted,validation_and_test_gate_passed
acm,B3_scap_v2,smooth_prob,probabilities,0.4,8,4.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8999055624008179,0.8962585926055908,0.9005996386210123,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_logits,logits,0.6,1,1.0,,,,0.9285714030265808,0.8571428656578064,0.8956562876701355,0.854107677936554,0.8962585926055908,0.8562054634094238,3,3,True,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,smooth_prob,probabilities,0.6,1,1.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.9050991535186768,0.8962585926055908,0.9060611923535665,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_prob,probabilities,0.6,1,2.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.906987726688385,0.8962585926055908,0.9079216519991556,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_prob,probabilities,0.6,1,4.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.909820556640625,0.8962585926055908,0.9106853604316711,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_logits,logits,0.6,2,1.0,,,,0.9285714030265808,0.7307692170143127,0.8956562876701355,0.771482527256012,0.8962585926055908,0.7763915657997131,3,3,True,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,smooth_prob,probabilities,0.6,2,1.0,,,,0.9285714030265808,0.9340659379959106,0.8956562876701355,0.899433434009552,0.8962585926055908,0.9000638524691263,3,3,True,False,False,False,promoted,validation_and_test_gate_passed
